x,y,p,phi_on_grid
0.0246727,0.462378,0.0112145,0.0113435
0.0246727,0.475759,0.0115483,0.0116699
0.0246727,0.489169,0.0118733,0.0119969
0.0246727,0.502607,0.0122036,0.0123244
0.0246727,0.516073,0.0125341,0.0126526
0.0246727,0.529568,0.012864,0.0129813
0.0246727,0.54309,0.0131965,0.0133105
0.0246727,0.55664,0.0135303,0.0136404
0.0246727,0.570218,0.0138615,0.0139708
0.0246727,0.583824,0.014199,0.0143018
0.0246727,0.597458,0.0145373,0.0146333
0.0246727,0.611119,0.0148717,0.0149654
0.0246727,0.624808,0.0152159,0.0152981
0.0246727,0.638525,0.0155469,0.0156314
0.0370551,0.0,0.0,0.0
0.0370551,0.012321,0.000439411,0.000456452
0.0370551,0.0246727,0.000913719,0.000913833
0.0370551,0.0370551,0.00132763,0.00137214
0.0370551,0.0494679,0.00182038,0.00183136
0.0370551,0.0619113,0.00223617,0.0022915
0.0370551,0.074385,0.00271529,0.00275255
0.0370551,0.086889,0.00315266,0.00321451
0.0370551,0.0994233,0.00361669,0.00367737
0.0370551,0.111988,0.00407157,0.00414113
0.0370551,0.124582,0.0045247,0.00460578
0.0370551,0.137207,0.00498927,0.00507133
0.0370551,0.149861,0.00544509,0.00553776
0.0370551,0.162546,0.0058992,0.00600507
0.0370551,0.17526,0.00637792,0.00647327
0.0370551,0.188004,0.00681497,0.00694234
0.0370551,0.200777,0.00730632,0.00741228
0.0370551,0.213581,0.0077456,0.00788309
0.0370551,0.226413,0.00823217,0.00835476
0.0370551,0.239276,0.00868061,0.0088273
0.0370551,0.252167,0.00916641,0.00930068
0.0370551,0.265088,0.00961624,0.00977493
0.0370551,0.278038,0.0101042,0.01025
0.0370551,0.291018,0.0105637,0.010726
0.0370551,0.304026,0.0110417,0.0112027
0.0370551,0.317064,0.0115146,0.0116803
0.0370551,0.33013,0.0119879,0.0121588
0.0370551,0.343226,0.0124625,0.0126381
0.0370551,0.35635,0.0129458,0.0131182
0.0370551,0.369504,0.0134161,0.0135991
0.0370551,0.382686,0.0139046,0.0140808
0.0370551,0.395896,0.0143794,0.0145634
0.0370551,0.409136,0.014865,0.0150468
0.0370551,0.422404,0.0153462,0.015531
0.0370551,0.4357,0.015833,0.0160159
0.0370551,0.449025,0.0163154,0.0165017
0.0370551,0.462378,0.016808,0.0169883
0.0370551,0.475759,0.017294,0.0174757
0.0370551,0.489169,0.0177857,0.0179639
0.0370551,0.502607,0.0182782,0.0184528
0.0370551,0.516073,0.0187685,0.0189426
0.0370551,0.529568,0.0192658,0.0194331
0.0370551,0.54309,0.0197576,0.0199244
0.0370551,0.55664,0.0202546,0.0204165
0.0370551,0.570218,0.020756,0.0209093
0.0370551,0.583824,0.0212542,0.021403
0.0370551,0.597458,0.0217557,0.0218973
0.0370551,0.611119,0.0222613,0.0223925
0.0370551,0.624808,0.0227642,0.0228884
0.0370551,0.638525,0.0232795,0.023385
0.0494679,0.0,0.0,0.0
0.0494679,0.012321,0.000607165,0.00060931
0.0494679,0.0246727,0.00118174,0.00121977
0.0494679,0.0370551,0.00182038,0.00183136
0.0494679,0.0494679,0.0023839,0.00244409
0.0494679,0.0619113,0.00301945,0.00305794
0.0494679,0.074385,0.00360314,0.00367292
0.0494679,0.086889,0.00421732,0.00428901
0.0494679,0.0994233,0.0048246,0.00490621
0.0494679,0.111988,0.00542756,0.00552451
0.0494679,0.124582,0.00604713,0.00614391
0.0494679,0.137207,0.00664725,0.0067644
0.0494679,0.149861,0.00726468,0.00738598
0.0494679,0.162546,0.00788123,0.00800864
0.0494679,0.17526,0.00848235,0.00863237
0.0494679,0.188004,0.00912081,0.00925718
0.0494679,0.200777,0.00971148,0.00988304
0.0494679,0.213581,0.0103567,0.01051
0.0494679,0.226413,0.0109524,0.0111379
0.0494679,0.239276,0.0115965,0.011767
0.0494679,0.252167,0.0121961,0.012397
0.0494679,0.265088,0.0128424,0.0130281
0.0494679,0.278038,0.0134492,0.0136603
0.0494679,0.291018,0.0140901,0.0142934
0.0494679,0.304026,0.0147123,0.0149276
0.0494679,0.317064,0.0153435,0.0155628
0.0494679,0.33013,0.0159722,0.016199
0.0494679,0.343226,0.0166113,0.0168362
0.0494679,0.35635,0.0172352,0.0174743
0.0494679,0.369504,0.0178857,0.0181135
0.0494679,0.382686,0.0185101,0.0187537
0.0494679,0.395896,0.0191584,0.0193949
0.0494679,0.409136,0.0197948,0.020037
0.0494679,0.422404,0.0204372,0.0206801
0.0494679,0.4357,0.021081,0.0213242
0.0494679,0.449025,0.0217265,0.0219692
0.0494679,0.462378,0.0223738,0.0226152
0.0494679,0.475759,0.0230238,0.0232622
0.0494679,0.489169,0.0236762,0.0239101
0.0494679,0.502607,0.0243254,0.0245589
0.0494679,0.516073,0.0249832,0.0252087
0.0494679,0.529568,0.0256335,0.0258594
0.0494679,0.54309,0.026295,0.026511
0.0494679,0.55664,0.0269512,0.0271635
0.0494679,0.570218,0.0276105,0.027817
0.0494679,0.583824,0.0282769,0.0284714
0.0494679,0.597458,0.0289417,0.0291267
0.0494679,0.611119,0.0296109,0.0297829
0.0494679,0.624808,0.0302796,0.0304399
0.0494679,0.638525,0.0309478,0.0310979
0.0619113,0.0,0.0,0.0
0.0619113,0.012321,0.000741024,0.00076252
0.0619113,0.0246727,0.00151283,0.00152636
0.0619113,0.0370551,0.00223617,0.0022915
0.0619113,0.0494679,0.00301945,0.00305794
0.0619113,0.0619113,0.00375349,0.00382568
0.0619113,0.074385,0.00451529,0.0045947
0.0619113,0.086889,0.0052784,0.00536499
0.0619113,0.0994233,0.00602291,0.00613655
0.0619113,0.111988,0.00680287,0.00690937
0.0619113,0.124582,0.00754503,0.00768345
0.0619113,0.137207,0.00832488,0.00845877
0.0619113,0.149861,0.00907757,0.00923532
0.0619113,0.162546,0.00984651,0.0100131
0.0619113,0.17526,0.0106214,0.0107921
0.0619113,0.188004,0.0113745,0.0115723
0.0619113,0.200777,0.0121677,0.0123538
0.0619113,0.213581,0.0129148,0.0131364
0.0619113,0.226413,0.0137133,0.0139202
0.0619113,0.239276,0.0144656,0.0147052
0.0619113,0.252167,0.0152634,0.0154914
0.0619113,0.265088,0.0160222,0.0162787
0.0619113,0.278038,0.0168195,0.0170672
0.0619113,0.291018,0.0175906,0.0178569
0.0619113,0.304026,0.0183812,0.0186477
0.0619113,0.317064,0.0191612,0.0194396
0.0619113,0.33013,0.0199531,0.0202327
0.0619113,0.343226,0.0207323,0.0210269
0.0619113,0.35635,0.0215378,0.0218223
0.0619113,0.369504,0.0223142,0.0226187
0.0619113,0.382686,0.0231238,0.0234162
0.0619113,0.395896,0.0239091,0.0242149
0.0619113,0.409136,0.0247122,0.0250146
0.0619113,0.422404,0.0255101,0.0258154
0.0619113,0.4357,0.0263101,0.0266173
0.0619113,0.449025,0.0271147,0.0274203
0.0619113,0.462378,0.0279204,0.0282243
0.0619113,0.475759,0.0287301,0.0290294
0.0619113,0.489169,0.0295381,0.0298355
0.0619113,0.502607,0.0303522,0.0306427
0.0619113,0.516073,0.0311622,0.0314509
0.0619113,0.529568,0.0319814,0.0322602
0.0619113,0.54309,0.0327928,0.0330705
0.0619113,0.55664,0.0336142,0.0338818
0.0619113,0.570218,0.0344375,0.0346941
0.0619113,0.583824,0.0352596,0.0355074
0.0619113,0.597458,0.0360891,0.0363217
0.0619113,0.611119,0.036915,0.037137
0.0619113,0.624808,0.0377532,0.0379533
0.0619113,0.638525,0.0385874,0.0387705
0.074385,0.0,0.0,0.0
0.074385,0.012321,0.000904646,0.00091608
0.074385,0.0246727,0.00179121,0.0018336
0.074385,0.0370551,0.00271529,0.00275255
0.074385,0.0494679,0.00360314,0.00367292
0.074385,0.0619113,0.00451529,0.0045947
0.074385,0.074385,0.00543027,0.00551787
0.074385,0.086889,0.00631635,0.00644244
0.074385,0.0994233,0.00725801,0.00736838
0.074385,0.111988,0.00813831,0.0082957
0.074385,0.124582,0.00908207,0.00922437
0.074385,0.137207,0.00997232,0.0101544
0.074385,0.149861,0.0109062,0.0110858
0.074385,0.162546,0.0118151,0.0120184
0.074385,0.17526,0.0127357,0.0129525
0.074385,0.188004,0.013668,0.0138878
0.074385,0.200777,0.0145728,0.0148244
0.074385,0.213581,0.0155211,0.0157623
0.074385,0.226413,0.0164258,0.0167015
0.074385,0.239276,0.0173735,0.017642
0.074385,0.252167,0.0182879,0.0185837
0.074385,0.265088,0.0192331,0.0195267
0.074385,0.278038,0.0201571,0.0204709
0.074385,0.291018,0.0211034,0.0214164
0.074385,0.304026,0.0220337,0.0223631
0.074385,0.317064,0.02298,0.023311
0.074385,0.33013,0.0239125,0.0242601
0.074385,0.343226,0.0248668,0.0252104
0.074385,0.35635,0.0258009,0.0261619
0.074385,0.369504,0.026763,0.0271146
0.074385,0.382686,0.0277003,0.0280684
0.074385,0.395896,0.028662,0.0290235
0.074385,0.409136,0.0296095,0.0299796
0.074385,0.422404,0.0305683,0.030937
0.074385,0.4357,0.0315236,0.0318954
0.074385,0.449025,0.0324851,0.032855
0.074385,0.462378,0.033448,0.0338157
0.074385,0.475759,0.0344146,0.0347775
0.074385,0.489169,0.035382,0.0357405
0.074385,0.502607,0.0363511,0.0367045
0.074385,0.516073,0.0373226,0.0376696
0.074385,0.529568,0.0382941,0.0386358
0.074385,0.54309,0.0392716,0.0396031
0.074385,0.55664,0.040247,0.0405714
0.074385,0.570218,0.0412267,0.0415408
0.074385,0.583824,0.0422138,0.0425112
0.074385,0.597458,0.0431986,0.0434827
0.074385,0.611119,0.0441932,0.0444551
0.074385,0.624808,0.0451793,0.0454287
0.074385,0.638525,0.0461788,0.0464032
0.086889,0.0,0.0,0.0
0.086889,0.012321,0.00104652,0.00106999
0.086889,0.0246727,0.00210945,0.0021415
0.086889,0.0370551,0.00315266,0.00321451
0.086889,0.0494679,0.00421732,0.00428901
0.086889,0.0619113,0.0052784,0.00536499
0.086889,0.074385,0.00631635,0.00644244
0.086889,0.086889,0.00741029,0.00752134
0.086889,0.0994233,0.00843209,0.00860169
0.086889,0.111988,0.0095376,0.00968346
0.086889,0.124582,0.0105689,0.0107667
0.086889,0.137207,0.0116628,0.0118513
0.086889,0.149861,0.0127109,0.0129372
0.086889,0.162546,0.0137949,0.0140246
0.086889,0.17526,0.0148637,0.0151134
0.086889,0.188004,0.0159319,0.0162035
0.086889,0.200777,0.0170242,0.0172949
